artists,x0,x1,play_count
Abram Chasins William Kapell,-0.19576769,12.708109,8
Academia dos Renascidos,5.828728,5.992144,20
Academy of St. Martin in the Fields Academy of St. Martin in the Fields Chorus Laszlo Heltay Sir Neville Marriner Wolfgang Amadeus Mozart,-1.7824464,10.971386,4
"Academy of St. Martin in the Fields Choir of King's College, Cambridge Johann Sebastian Bach Philip Ledger",1.6094297,12.683341,4
Academy of St. Martin in the Fields Edvard Grieg Sir Neville Marriner,-1.1834787,12.1090975,4
Academy of St. Martin in the Fields Sir Neville Marriner Wolfgang Amadeus Mozart,-1.757808,11.09856,10
Accept,9.415673,12.756533,18
Ace Frehley,10.896564,12.173949,13
Ace of Base,11.696661,8.995593,14
Acerina Y Su Danzonera,3.2512767,12.60608,21
Achille Togliani,3.5087025,8.423492,3
Achille Togliani Nilla Pizzi,-1.4871683,12.0992365,3
Acid Bath,6.9743876,14.052325,9
Acker Bilk,-0.83700746,10.868829,3
Action Bronson,14.454495,9.213921,3
Ada Falcón Francisco Canaro,2.3875742,13.058488,14
Adalberto Santiago,9.629462,6.8122983,3
Adam Ant,10.684448,12.00968,8
Adam Caroll,-0.46360943,12.421997,3
Adam Lambert,10.945156,11.759469,5
Adam Pascal,8.497728,11.141212,3
Adam Pascal Rosario Dawson,7.582706,10.773752,3
Adam Sandler,5.3075953,5.4589543,7
Adan Chalino Sanchez,10.98089,10.025871,3
Adele,7.989859,10.766601,42
Adelitas Way,10.382558,12.728394,7
Adema,10.47424,13.694822,3
Adolescent's Orquesta,9.857738,7.2614937,9
Adolescents,9.863918,12.693089,16
Adolf Busch Busch Chamber Players Eugene Istomin Johann Sebastian Bach,0.056331903,12.175521,3
Adolfo Berón,2.2026157,13.1061535,12
Adolph Baller Béla Bartók Yehudi Menuhin,3.1714797,8.340468,4
Adolph Deutsch MGM Studio Chorus MGM Studio Orchestra,-1.0816482,10.535416,3
Adolph Deutsch MGM Studio Orchestra,-0.4563194,11.329894,18
Adolphe Bérard,5.375114,7.1002307,6
Adrian Charras Charras Gonzalez Veronica Gonzalez Day,5.2992167,8.674503,3
Adriana Caselotti,3.8432617,7.531489,5
Adriano Celentano,8.40081,9.508552,3
Adrienne Albert Igor Stravinsky Robert Craft,4.6582274,7.692172,10
Adrián Patiño Banda del Regimiento Pérez 3 de Infantería,2.6379943,12.607614,4
Aer,11.356462,9.534376,6
Aerosmith,9.7722435,12.798358,124
Aesop Rock,14.3629675,9.107046,8
Afrika Bambaataa The Soulsonic Force,12.121415,9.743082,5
Afroman,13.798967,9.669452,8
After 7,10.543937,8.917102,10
After The Burial,9.900769,13.555357,3
Against Me!,10.636555,12.492759,6
Agathoklis Mouskas,6.1075764,7.0981374,5
Agent Orange,10.851851,13.770066,15
Agnes Varda Corinne Marchand Michel Legrand,5.2617717,8.532709,4
Agnostic Front,9.414113,13.557685,3
Agustín Barrios Mangoré John Williams,-1.3136579,12.5649185,3
Agustín Irusta Francisco Canaro,2.9931138,12.1220665,68
Ahmad Jamal,0.77883357,12.4668865,79
Ahmad Jamal Quintet,2.7265565,12.593734,10
Ahmad Jamal Trio,3.2732456,6.105517,45
Ahmed Dilawar,0.6137697,10.419962,4
Aida Cuevas,6.2711496,7.883651,3
Aimee Mann,7.0295286,9.95536,5
Air,5.9982543,13.708931,13
Air Supply,7.20896,10.733551,32
Airplay,8.201545,9.160743,3
Akkineni Nageswara Rao S. Varalakshmi,1.9037592,12.385053,3
Akon,10.094982,10.102813,20
Akon Baby Bash,12.768485,8.779327,3
Akon David Guetta,11.527742,9.116165,3
Akon Snoop Dogg,9.89998,9.854845,4
Akwid,14.156879,9.025394,7
Al Alberts The Four Aces,4.8777375,8.119787,3
Al B. Sure!,8.586964,8.744931,8
Al Bowlly,3.670367,8.300612,25
Al Caiola,2.7844303,13.057057,13
Al Di Meola,5.8660774,13.543006,5
Al Di Meola John McLaughlin Paco de Lucía,3.2058573,6.1575575,4
Al Green,8.854411,8.368696,75
Al Haig Quartet,2.242544,12.094611,4
Al Hirt,1.9349521,11.832208,12
Al Hurricane,9.529484,6.886315,4
Al Jarreau,9.142899,8.370781,28
Al Jolson,7.187615,7.6983676,9
Al Kooper Lynyrd Skynyrd,9.286371,7.8460507,4
Al Kooper Mike Bloomfield,5.6422977,13.463168,8
Al Kooper Shuggie Otis,4.720014,13.172393,6
